Modelo,Base,Tipo,Treino,Previsao,RMSE,MAPE,Loja,Item
LSMT,Favorita,Item,11.63,0.5,199,6.72,49,1.47e+06
Prophet,Favorita,Item,0.17,0.05,252,9.79,49,1.47e+06
ARIMA,Favorita,Item,110.42,0.01,475,10.3,49,1.50e+06
CNN,Favorita,Item,3.61,0.12,616,13.54,49,1.50e+06
LSMT,Favorita,Item,12.04,0.5,476,10.03,49,1.50e+06
Prophet,Favorita,Item,0.17,0.07,516,11.19,49,1.50e+06
ARIMA,Favorita,Item,743.83,0.06,199,26.19,50,364606
CNN,Favorita,Item,4.72,0.17,134,14.84,50,364606
LSMT,Favorita,Item,17.85,0.52,109,12.19,50,364606
Prophet,Favorita,Item,0.22,0.08,244,32.64,50,364606
ARIMA,Favorita,Item,346.11,0.02,139,10.93,50,584028
CNN,Favorita,Item,4.74,0.18,153,12.25,50,584028
LSMT,Favorita,Item,16.94,0.52,136,12.03,50,584028
Prophet,Favorita,Item,0.23,0.07,252,21.3,50,584028
ARIMA,Favorita,Item,13.48,0.0,416,39.91,51,257847
CNN,Favorita,Item,4.89,0.15,350,25.21,51,257847
LSMT,Favorita,Item,7.4,0.51,316,23.83,51,257847
Prophet,Favorita,Item,0.19,0.07,294,23.06,51,257847
ARIMA,Favorita,Item,28.66,0.01,488,18.56,51,1.50e+06
CNN,Favorita,Item,4.08,0.16,272,8.79,51,1.50e+06
LSMT,Favorita,Item,12.01,0.52,405,15.53,51,1.50e+06
Prophet,Favorita,Item,0.18,0.05,529,19.87,51,1.50e+06
ARIMA,M5,Item,16.06,0.01,399,5.64e+19,CA_1,FOODS_3_090
CNN,M5,Item,5.28,0.12,212,3.21e+19,CA_1,FOODS_3_090
LSMT,M5,Item,12.61,0.54,162,1.76e+19,CA_1,FOODS_3_090
Prophet,M5,Item,0.2,0.06,214,3.04e+19,CA_1,FOODS_3_090
ARIMA,M5,Item,628.16,0.06,50,14.73,CA_1,FOODS_3_586
CNN,M5,Item,5.72,0.14,43,11.99,CA_1,FOODS_3_586
LSMT,M5,Item,6.92,0.52,38,10.52,CA_1,FOODS_3_586
Prophet,M5,Item,0.19,0.07,43,10.99,CA_1,FOODS_3_586
ARIMA,M5,Item,445.4,0.06,84,40.44,CA_2,FOODS_3_252
CNN,M5,Item,4.98,0.13,78,27.73,CA_2,FOODS_3_252
LSMT,M5,Item,6.62,0.8,54,23.24,CA_2,FOODS_3_252
Prophet,M5,Item,0.2,0.06,80,40.77,CA_2,FOODS_3_252
ARIMA,M5,Item,124.99,0.01,121,73.66,CA_2,FOODS_3_586
CNN,M5,Item,6.18,0.14,71,34.89,CA_2,FOODS_3_586
LSMT,M5,Item,8.22,0.52,50,23.82,CA_2,FOODS_3_586
Prophet,M5,Item,0.19,0.07,119,71.45,CA_2,FOODS_3_586
ARIMA,M5,Item,263.24,0.01,419,1656.37,CA_3,FOODS_3_090
CNN,M5,Item,5.89,0.16,354,827.5,CA_3,FOODS_3_090
LSMT,M5,Item,22.35,0.52,308,790.04,CA_3,FOODS_3_090
Prophet,M5,Item,0.2,0.07,398,1252.76,CA_3,FOODS_3_090
ARIMA,M5,Item,739.15,0.01,90,16.98,CA_3,FOODS_3_586
CNN,M5,Item,5.85,0.15,67,11.13,CA_3,FOODS_3_586
LSMT,M5,Item,19.52,0.52,68,10.65,CA_3,FOODS_3_586
Prophet,M5,Item,0.18,0.07,108,20.6,CA_3,FOODS_3_586
ARIMA,M5,Item,18.44,0.0,100,1.61e+19,CA_4,FOODS_3_090
CNN,M5,Item,5.75,0.15,86,1.15e+19,CA_4,FOODS_3_090
LSMT,M5,Item,12.88,0.52,77,7.29e+18,CA_4,FOODS_3_090
Prophet,M5,Item,0.18,0.07,114,1.54e+19,CA_4,FOODS_3_090
ARIMA,M5,Item,13.77,0.01,60,72.24,CA_4,FOODS_3_586
CNN,M5,Item,4.67,0.13,23,21.64,CA_4,FOODS_3_586
LSMT,M5,Item,7.86,0.5,22,22.52,CA_4,FOODS_3_586
Prophet,M5,Item,0.29,0.16,55,63.27,CA_4,FOODS_3_586
ARIMA,M5,Item,9.73,0.0,176,2.93e+19,TX_1,FOODS_3_090
CNN,M5,Item,4.72,0.13,147,1.89e+19,TX_1,FOODS_3_090
LSMT,M5,Item,22.34,0.52,140,1.18e+19,TX_1,FOODS_3_090
Prophet,M5,Item,0.18,0.1,185,2.39e+19,TX_1,FOODS_3_090
ARIMA,M5,Item,241.24,0.01,85,23.08,TX_1,FOODS_3_586
CNN,M5,Item,4.4,0.12,54,12.45,TX_1,FOODS_3_586
LSMT,M5,Item,7.23,0.8,52,12.9,TX_1,FOODS_3_586
Prophet,M5,Item,0.25,0.1,51,11.6,TX_1,FOODS_3_586
ARIMA,M5,Item,32.29,0.01,213,3.62e+19,TX_2,FOODS_3_090
CNN,M5,Item,4.62,0.15,230,3.45e+19,TX_2,FOODS_3_090
LSMT,M5,Item,28.2,0.63,177,1.76e+19,TX_2,FOODS_3_090
Prophet,M5,Item,0.35,0.15,218,3.19e+19,TX_2,FOODS_3_090
ARIMA,M5,Item,378.33,0.01,119,17.65,TX_2,FOODS_3_586
CNN,M5,Item,4.42,0.12,98,12.03,TX_2,FOODS_3_586
LSMT,M5,Item,26.63,0.64,99,11.84,TX_2,FOODS_3_586
Prophet,M5,Item,0.2,0.08,93,11.58,TX_2,FOODS_3_586
ARIMA,M5,Item,307.46,0.01,192,3.06e+19,TX_3,FOODS_3_090
CNN,M5,Item,5.32,0.12,206,2.90e+19,TX_3,FOODS_3_090
LSMT,M5,Item,26.09,0.54,166,1.46e+19,TX_3,FOODS_3_090
Prophet,M5,Item,0.2,0.07,224,3.23e+19,TX_3,FOODS_3_090
ARIMA,M5,Item,219.4,0.01,88,14.79,TX_3,FOODS_3_586
CNN,M5,Item,4.53,0.12,90,14.9,TX_3,FOODS_3_586
LSMT,M5,Item,8.96,0.58,83,13.94,TX_3,FOODS_3_586
Prophet,M5,Item,0.15,0.06,93,14.41,TX_3,FOODS_3_586
ARIMA,M5,Item,545.28,0.05,130,45.75,WI_1,FOODS_3_226
CNN,M5,Item,4.53,0.12,52,14.87,WI_1,FOODS_3_226
LSMT,M5,Item,25.38,0.53,44,11.79,WI_1,FOODS_3_226
Prophet,M5,Item,0.27,0.1,128,43.55,WI_1,FOODS_3_226
ARIMA,M5,Item,417.78,0.06,32,21.63,WI_1,FOODS_3_694
CNN,M5,Item,4.43,0.13,23,12.05,WI_1,FOODS_3_694
LSMT,M5,Item,25.85,0.57,21,11.32,WI_1,FOODS_3_694
Prophet,M5,Item,0.25,0.1,24,14.88,WI_1,FOODS_3_694
ARIMA,M5,Item,381.7,0.01,49,16.75,WI_2,FOODS_3_226
CNN,M5,Item,4.55,0.13,52,16.47,WI_2,FOODS_3_226
LSMT,M5,Item,13.7,0.63,43,14.84,WI_2,FOODS_3_226
Prophet,M5,Item,0.21,0.1,67,21.41,WI_2,FOODS_3_226
ARIMA,M5,Item,246.31,0.01,35,14.08,WI_2,FOODS_3_694
CNN,M5,Item,4.82,0.12,52,19.65,WI_2,FOODS_3_694
LSMT,M5,Item,25.72,0.56,34,13.51,WI_2,FOODS_3_694
Prophet,M5,Item,0.22,0.08,74,34.25,WI_2,FOODS_3_694
ARIMA,M5,Item,249.44,0.06,229,2.95e+19,WI_3,FOODS_3_090
CNN,M5,Item,4.7,0.19,189,2.21e+19,WI_3,FOODS_3_090
LSMT,M5,Item,19.75,0.91,159,1.67e+19,WI_3,FOODS_3_090
Prophet,M5,Item,0.19,0.06,306,2.15e+19,WI_3,FOODS_3_090
ARIMA,M5,Item,203.94,0.01,44,11.41,WI_3,FOODS_3_226
CNN,M5,Item,4.64,0.16,51,12.31,WI_3,FOODS_3_226
LSMT,M5,Item,13.66,0.57,50,12.71,WI_3,FOODS_3_226
Prophet,M5,Item,0.21,0.06,63,15.44,WI_3,FOODS_3_226
ARIMA,Olist,Item,34.1,0.01,4,6.16e+17,Loja_1,Item_1
CNN,Olist,Item,2.71,0.13,4,2.07e+17,Loja_1,Item_1
LSMT,Olist,Item,12.76,0.9,57,1.05e+18,Loja_1,Item_1
Prophet,Olist,Item,0.57,0.05,9,1.23e+18,Loja_1,Item_1
ARIMA,Olist,Item,21.53,0.01,2,8.50e+16,Loja_1,Item_2
CNN,Olist,Item,2.69,0.13,2,2.57e+16,Loja_1,Item_2
LSMT,Olist,Item,12.3,0.61,4,1.08e+17,Loja_1,Item_2
Prophet,Olist,Item,0.35,0.05,4,1.02e+17,Loja_1,Item_2
ARIMA,Olist,Item,107.65,0.01,3,1.15e+18,Loja_10,Item_19
CNN,Olist,Item,2.68,0.13,0,5.66e+16,Loja_10,Item_19
LSMT,Olist,Item,11.66,0.54,0,2.31e+17,Loja_10,Item_19
Prophet,Olist,Item,0.7,0.03,9,3.25e+18,Loja_10,Item_19
ARIMA,Olist,Item,195.46,0.01,2,9.25e+17,Loja_10,Item_20
CNN,Olist,Item,2.88,0.12,0,1.77e+17,Loja_10,Item_20
LSMT,Olist,Item,12.4,0.6,1,1.87e+17,Loja_10,Item_20
Prophet,Olist,Item,0.37,0.03,9,3.43e+18,Loja_10,Item_20
ARIMA,Olist,Item,22.0,0.01,11,1.36e+18,Loja_2,Item_3
CNN,Olist,Item,2.68,0.14,3,5.01e+17,Loja_2,Item_3
LSMT,Olist,Item,12.47,0.6,4,2.95e+17,Loja_2,Item_3
Prophet,Olist,Item,0.35,0.03,24,2.47e+18,Loja_2,Item_3
ARIMA,Olist,Item,21.72,0.01,3,4.53e+17,Loja_2,Item_4
CNN,Olist,Item,2.7,0.12,1,2.42e+17,Loja_2,Item_4
LSMT,Olist,Item,12.85,0.57,2,3.89e+17,Loja_2,Item_4
Prophet,Olist,Item,0.34,0.04,4,5.72e+17,Loja_2,Item_4
ARIMA,Olist,Item,23.55,0.01,10,5.62e+17,Loja_3,Item_5
CNN,Olist,Item,2.59,0.12,8,4.02e+17,Loja_3,Item_5
LSMT,Olist,Item,11.96,0.56,94,1.99e+18,Loja_3,Item_5
Prophet,Olist,Item,0.59,0.03,10,3.45e+17,Loja_3,Item_5
ARIMA,Olist,Item,4.32,0.01,5,3.85e+17,Loja_3,Item_6
CNN,Olist,Item,2.68,0.12,4,3.04e+17,Loja_3,Item_6
LSMT,Olist,Item,12.26,0.65,11,2.72e+17,Loja_3,Item_6
Prophet,Olist,Item,0.42,0.03,7,2.51e+17,Loja_3,Item_6
ARIMA,Olist,Item,20.96,0.01,8,2.00e+18,Loja_4,Item_7
CNN,Olist,Item,2.94,0.12,1,3.64e+17,Loja_4,Item_7
LSMT,Olist,Item,11.43,0.52,3,6.09e+17,Loja_4,Item_7
Prophet,Olist,Item,0.3,0.04,11,2.16e+18,Loja_4,Item_7
ARIMA,Olist,Item,4.07,0.01,4,1.20e+17,Loja_4,Item_8
CNN,Olist,Item,2.69,0.16,1,2.35e+16,Loja_4,Item_8
LSMT,Olist,Item,10.72,0.54,4,9.51e+16,Loja_4,Item_8
Prophet,Olist,Item,0.33,0.03,5,1.25e+17,Loja_4,Item_8
ARIMA,Olist,Item,5.38,0.01,1,5.36e+16,Loja_5,Item_10
CNN,Olist,Item,2.81,0.12,1,1.69e+17,Loja_5,Item_10
LSMT,Olist,Item,10.01,0.54,16,9.70e+17,Loja_5,Item_10
Prophet,Olist,Item,0.45,0.04,3,1.26e+17,Loja_5,Item_10
ARIMA,Olist,Item,14.09,0.01,2,50.69,Loja_5,Item_9
CNN,Olist,Item,2.84,0.18,2,71.5,Loja_5,Item_9
LSMT,Olist,Item,12.06,0.53,11,378.71,Loja_5,Item_9
Prophet,Olist,Item,0.55,0.03,12,390.82,Loja_5,Item_9
ARIMA,Olist,Item,35.26,0.01,23,3.15e+18,Loja_6,Item_11
CNN,Olist,Item,2.68,0.12,8,8.24e+17,Loja_6,Item_11
LSMT,Olist,Item,11.91,0.52,87,6.88e+18,Loja_6,Item_11
Prophet,Olist,Item,0.52,0.03,69,5.53e+18,Loja_6,Item_11
ARIMA,Olist,Item,201.62,0.01,4,4.03e+17,Loja_6,Item_12
CNN,Olist,Item,2.68,0.12,4,9.98e+17,Loja_6,Item_12
LSMT,Olist,Item,6.57,0.51,16,1.32e+18,Loja_6,Item_12
Prophet,Olist,Item,0.52,0.03,1362,2.58e+20,Loja_6,Item_12
ARIMA,Olist,Item,25.34,0.01,2,3.54e+17,Loja_7,Item_13
CNN,Olist,Item,3.06,0.12,2,1.33e+17,Loja_7,Item_13
LSMT,Olist,Item,11.56,0.62,4,3.90e+17,Loja_7,Item_13
Prophet,Olist,Item,0.33,0.04,3,1.39e+17,Loja_7,Item_13
ARIMA,Olist,Item,4.65,0.01,3,1.26e+18,Loja_7,Item_14
CNN,Olist,Item,2.71,0.13,3,9.46e+17,Loja_7,Item_14
LSMT,Olist,Item,13.47,0.57,51,5.87e+18,Loja_7,Item_14
Prophet,Olist,Item,0.55,0.04,16,3.34e+18,Loja_7,Item_14
ARIMA,Olist,Item,26.66,0.01,2,1.38e+17,Loja_8,Item_15
CNN,Olist,Item,2.71,0.12,2,1.85e+17,Loja_8,Item_15
LSMT,Olist,Item,11.93,0.56,7,5.68e+17,Loja_8,Item_15
Prophet,Olist,Item,0.68,0.04,41,8.57e+18,Loja_8,Item_15
ARIMA,Olist,Item,15.36,0.0,3,4.49e+17,Loja_8,Item_16
CNN,Olist,Item,2.67,0.13,3,5.58e+17,Loja_8,Item_16
LSMT,Olist,Item,11.53,0.61,7,1.20e+18,Loja_8,Item_16
Prophet,Olist,Item,0.49,0.05,4,4.42e+17,Loja_8,Item_16
ARIMA,Olist,Item,38.31,0.01,2,5.00e+17,Loja_9,Item_17
CNN,Olist,Item,2.66,0.15,1,1.58e+17,Loja_9,Item_17
LSMT,Olist,Item,9.91,0.56,8,1.14e+18,Loja_9,Item_17
Prophet,Olist,Item,0.46,0.04,2,5.13e+16,Loja_9,Item_17
ARIMA,Olist,Item,12.21,0.0,1,1.53e+17,Loja_9,Item_18
CNN,Olist,Item,2.64,0.12,1,3.58e+17,Loja_9,Item_18
LSMT,Olist,Item,10.35,0.54,6,1.04e+18,Loja_9,Item_18
Prophet,Olist,Item,0.72,0.04,2,1.38e+17,Loja_9,Item_18
